Experiment,Weight Sharing,Parameters,Best Val Loss,Best Step,Best Time (sec),Best Epoch,Total Steps,Total Time (sec),Early Stopped,Samples/Sec,Peak Memory (MB),Avg GPU Util (%),Depth,Embed Dim,Heads,Hidden Dim,Block Size,Use RoPE
Baseline,none,1090272,5.4939059019088745,1550,104.33,53,2050,137.93,True,475.6,5008.66,98.4,2,32,2,256,256,False
STLM-FFN,ffn,1065696,5.354662299156189,2000,134.45,68,2500,167.96,True,476.3,5008.28,98.27,2,32,2,256,256,False
STLM-Universal,full,1061344,5.459679484367371,1250,83.94,43,1750,117.53,True,476.48,5008.21,98.69,2,32,2,256,256,False
Baseline,none,1082080,5.337214112281799,1750,118.4,60,2250,152.15,True,473.2,5008.6,98.26,2,32,2,256,256,True
STLM-FFN,ffn,1057504,5.344694018363953,1700,114.78,58,2200,148.54,True,473.93,5008.22,98.1,2,32,2,256,256,True
STLM-Universal,full,1053152,5.340331077575684,1850,124.97,63,2350,158.73,True,473.77,5008.11,98.16,2,32,2,256,256,True
Baseline,none,16729856,3.366139233112335,550,170.29,18,1050,325.02,True,103.38,11643.8,99.97,8,256,8,1024,512,False
STLM-FFN,ffn,11224832,3.3977295756340027,800,245.97,27,1300,400.14,True,103.96,11580.8,99.98,8,256,8,1024,512,False
STLM-Universal,full,9375488,3.38362979888916,550,169.43,18,1050,325.5,True,103.23,11558.83,99.92,8,256,8,1024,512,False
Baseline,none,16598784,3.405350089073181,650,212.11,22,1150,374.54,True,98.25,11643.66,99.84,8,256,8,1024,512,True
STLM-FFN,ffn,11093760,3.406893789768219,600,194.83,20,1100,356.37,True,98.77,11578.9,99.93,8,256,8,1024,512,True
STLM-Universal,full,9244416,3.3981826305389404,550,176.21,18,1050,336.24,True,99.93,11558.62,99.98,8,256,8,1024,512,True
Baseline,none,58658304,3.413306415081024,600,516.37,20,850,733.12,True,37.1,17574.04,99.89,16,512,16,1024,512,False
STLM-FFN,ffn,35065344,3.4386088848114014,750,645.5,25,1000,861.04,True,37.16,17304.32,99.97,16,512,16,1024,512,False
STLM-Universal,full,19275264,3.4205161929130554,750,646.95,25,1000,863.48,True,37.06,17123.62,99.98,16,512,16,1024,512,False
Baseline,none,58396160,3.421056866645813,600,725.84,20,850,1026.54,True,26.5,10919.41,99.89,16,512,16,1024,512,True
STLM-FFN,ffn,34803200,3.417737305164337,550,653.76,18,800,950.4,True,26.94,10559.14,99.99,16,512,16,1024,512,True
STLM-Universal,full,19013120,3.409267544746399,550,639.85,18,800,932.66,True,27.45,10315.33,100.0,16,512,16,1024,512,True
